mp,party
Graham P Jones,Lab
Diane Abbott,Lab
Nigel Adams,Con
Bim Afolami,Con
Adam Afriyie,Con
Peter Aldous,Con
Rushanara Ali,Lab
Lucy Allan,Con
Heidi Allen,TIG
Rosena Allin-Khan,Lab
Mike Amesbury,Lab
Sir David Amess,Con
Stuart Andrew,Con
Tonia Antoniazzi,Lab
Edward Argar,Con
Jonathan Ashworth,Lab
Victoria Atkins,Con
Ian Austin,Ind
Richard Bacon,Con
Kemi Badenoch,Con
Adrian Bailey,Lab
Steve Baker,Con
Harriett Baldwin,Con
Stephen Barclay,Con
Hannah Bardell,SNP
John Baron,Con
Sir Kevin Barron,Lab
Guto Bebb,Con
Margaret Beckett,Lab
Órfhlaith Begley,SF
Sir Henry Bellingham,Con
Hilary Benn,Lab
Richard Benyon,Con
John Bercow,Oth
Sir Paul Beresford,Con
Luciana Berger,TIG
Jake Berry,Con
Clive Betts,Lab
Mhairi Black,SNP
Ian Blackford,SNP
Bob Blackman,Con
Kirsty Blackman,SNP
Roberta Blackman-Woods,Lab
Paul Blomfield,Lab
Crispin Blunt,Con
Nick Boles,Con
Peter Bone,Con
Sir Peter Bottomley,Con
Andrew Bowie,Con
Tracy Brabin,Lab
Ben Bradley,Con
Karen Bradley,Con
Ben Bradshaw,Lab
Sir Graham Brady,Con
Mickey Brady,SF
Tom Brake,LD
Suella Braverman,Con
Kevin Brennan,Lab
Jack Brereton,Con
Andrew Bridgen,Con
Steve Brine,Con
Deidre Brock,SNP
James Brokenshire,Con
Alan Brown,SNP
Lyn Brown,Lab
Nicholas Brown,Lab
Fiona Bruce,Con
Chris Bryant,Lab
Karen Buck,Lab
Robert Buckland,Con
Richard Burden,Lab
Alex Burghart,Con
Richard Burgon,Lab
Conor Burns,Con
Alistair Burt,Con
Dawn Butler,Lab
Liam Byrne,Lab
Sir Vince Cable,LD
Ruth Cadbury,Lab
Alun Cairns,Con
Lisa Cameron,SNP
Sir Alan Campbell,Lab
Gregory Campbell,DUP
Ronnie Campbell,Lab
Dan Carden,Lab
Alistair Carmichael,LD
James Cartlidge,Con
Sir William Cash,Con
Maria Caulfield,Con
Alex Chalk,Con
Sarah Champion,Lab
Douglas Chapman,SNP
Jenny Chapman,Lab
Bambos Charalambous,Lab
Joanna Cherry,SNP
Rehman Chishti,Con
Sir Christopher Chope,Con
Jo Churchill,Con
Colin Clark,Con
Greg Clark,Con
Kenneth Clarke,Con
Simon Clarke,Con
James Cleverly,Con
Sir Geoffrey Clifton-Brown,Con
Ann Clwyd,Lab
Vernon Coaker,Lab
Ann Coffey,TIG
Thérèse Coffey,Con
Damian Collins,Con
Julie Cooper,Lab
Rosie Cooper,Lab
Yvette Cooper,Lab
Jeremy Corbyn,Lab
Alberto Costa,Con
Robert Courts,Con
Ronnie Cowan,SNP
Geoffrey Cox,Con
Neil Coyle,Lab
