person,pageviews
Peter Aldous,27495
Rushanara Ali,127867
Lucy Allan,2931
Heidi Allen,447561
Rosena Allin-Khan,213837
Mike Amesbury,19309
David Amess,77800
Stuart Andrew,56900
Tonia Antoniazzi,35781
Edward Argar,29150
Jonathan Ashworth,3511
Victoria Atkins,128724
Ian Austin,3719
Richard Bacon,7662
Kemi Badenoch,129437
Adrian Bailey,25551
Steve Baker,7424
Harriett Baldwin,72302
Stephen Barclay,249630
Hannah Bardell,78246
John Baron,4267
Kevin Barron,38731
Guto Bebb,97291
Margaret Beckett,323520
Órfhlaith Begley,18834
Henry Bellingham,10716
Hilary Benn,451589
Richard Benyon,99071
John Bercow,2011787
Paul Beresford,42898
Luciana Berger,483446
Jake Berry,66094
Clive Betts,35771
Mhairi Black,527709
Ian Blackford,163823
Bob Blackman,8804
Kirsty Blackman,97404
Roberta Blackman-Woods,37926
Paul Blomfield,38873
Crispin Blunt,625741
Nick Boles,168400
Peter Bone,150559
Peter Bottomley,72526
Andrew Bowie,11190
Tracy Brabin,463746
Ben Bradley,21062
Karen Bradley,337859
Ben Bradshaw,132773
Mickey Brady,24176
Graham Brady,268499
Tom Brake,93320
Suella Braverman,159437
Kevin Brennan,4288
Jack Brereton,40086
Andrew Bridgen,113650
Steve Brine,53937
Deidre Brock,40853
James Brokenshire,293463
Alan Brown,7923
Lyn Brown,9650
Nicholas Brown,5771
Fiona Bruce,1149265
Chris Bryant,205468
Karen Buck,47994
Robert Buckland,71330
Richard Burden,34543
Alex Burghart,33393
Richard Burgon,185881
Conor Burns,55984
Alistair Burt,93938
Dawn Butler,253435
Liam Byrne,83868
Vince Cable,694045
Ruth Cadbury,68113
Alun Cairns,119575
Lisa Cameron,29401
Gregory Campbell,4102
Ronnie Campbell,55598
Alan Campbell,8607
Dan Carden,46336
Alistair Carmichael,96336
James Cartlidge,27048
William Cash,4454
Maria Caulfield,72710
Alex Chalk,52391
Sarah Champion,34324
Douglas Chapman,857
Jenny Chapman,79921
Bambos Charalambous,82515
Joanna Cherry,93817
Rehman Chishti,108273
Christopher Chope,340721
Jo Churchill,41272
Colin Clark,9247
Greg Clark,255662
Kenneth Clarke,784036
Simon Clarke,3300
James Cleverly,253239
Geoffrey Clifton-Brown,1628
Ann Clwyd,49115
Vernon Coaker,53445
Ann Coffey,95348
Th?r?se Coffey,1
Damian Collins,87657
Julie Cooper,12234
Rosie Cooper,71471
Yvette Cooper,588038
Jeremy Corbyn,5960125
Alberto Costa,7303
Robert Courts,84684
Ronnie Cowan,1867
Geoffrey Cox,5621
Neil Coyle,63899
Stephen Crabb,444438
David Crausby,22171
Angela Crawley,27624
Mary Creagh,80179
Stella Creasy,267599
Tracey Crouch,152164
Jon Cruddas,58325
John Cryer,103029
Judith Cummins,19900
Alex Cunningham,21897
Jim Cunningham,1167
Janet Daby,19067
Nic Dakin,26363
Edward Davey,11596
Wayne David,23069
Chris Davies,2724
David T. C. Davies,0
Geraint Davies,2160
Glyn Davies,2511
Mims Davies,65977
Philip Davies,318421
David Davis,53581
Martyn Day,2931
Marsha De Cordova,11446
Gloria De Piero,149531
Thangam Debbonaire,128705
Emma Dent Coad,179713
Tanmanjeet Singh Dhesi,53387
Caroline Dinenage,144281
Jonathan Djanogly,82121
Leo Docherty,29843
Martin Docherty-Hughes,14808
Anneliese Dodds,83533
Nigel Dodds,144468
Jeffrey M. Donaldson,0
Michelle Donelan,41408
Nadine Dorries,312824
Steve Double,32076
Stephen Doughty,52148
Peter Dowd,51442
Oliver Dowden,46655
Jackie Doyle-Price,61139
Richard Drax,89798
David Drew,4010
Jack Dromey,119194
James Duddridge,65491
Rosie Duffield,63013
David Duguid,5442
Iain Duncan Smith,657776
Alan Duncan,298764
Philip Dunne,8472
Maria Eagle,262051
Angela Eagle,684227
Jonathan Edwards,53168
Clive Efford,31440
Julie Elliott,33427
Michael Ellis,12531
Louise Ellman,79615
Tobias Ellwood,383465
Chris Elmore,21897
Charlie Elphicke,160835
Bill Esterson,28950
George Eustice,68000
Chris Evans,245930
Nigel Evans,174545
David Evennett,29790
Michael Fabricant,311412
Michael Fallon,550355
Paul Farrelly,44097
Tim Farron,879556
Marion Fellows,17979
Frank Field,50418
Mark Field,136750
