person,motionId,vote
Graham P Jones,1,FOR
Graham P Jones,2,FOR
Graham P Jones,3,FOR
Graham P Jones,4,DID_NOT_VOTE
Graham P Jones,5,DID_NOT_VOTE
Graham P Jones,6,AGAINST
Graham P Jones,7,AGAINST
Graham P Jones,8,AGAINST
Diane Abbott,1,FOR
Diane Abbott,2,FOR
Diane Abbott,3,FOR
Diane Abbott,4,FOR
Diane Abbott,5,DID_NOT_VOTE
Diane Abbott,6,AGAINST
Diane Abbott,7,AGAINST
Diane Abbott,8,DID_NOT_VOTE
Nigel Adams,1,AGAINST
Nigel Adams,2,AGAINST
Nigel Adams,3,AGAINST
Nigel Adams,4,AGAINST
Nigel Adams,5,AGAINST
Nigel Adams,6,DID_NOT_VOTE
Nigel Adams,7,FOR
Nigel Adams,8,AGAINST
Bim Afolami,1,DID_NOT_VOTE
Bim Afolami,2,AGAINST
Bim Afolami,3,AGAINST
Bim Afolami,4,FOR
Bim Afolami,5,AGAINST
Bim Afolami,6,AGAINST
Bim Afolami,7,DID_NOT_VOTE
Bim Afolami,8,FOR
Adam Afriyie,1,AGAINST
Adam Afriyie,2,AGAINST
Adam Afriyie,3,AGAINST
Adam Afriyie,4,AGAINST
Adam Afriyie,5,AGAINST
Adam Afriyie,6,FOR
Adam Afriyie,7,FOR
Adam Afriyie,8,AGAINST
Peter Aldous,1,AGAINST
Peter Aldous,2,AGAINST
Peter Aldous,3,AGAINST
Peter Aldous,4,AGAINST
Peter Aldous,5,AGAINST
Peter Aldous,6,AGAINST
Peter Aldous,7,AGAINST
Peter Aldous,8,FOR
Rushanara Ali,1,FOR
Rushanara Ali,2,FOR
Rushanara Ali,3,FOR
Rushanara Ali,4,FOR
Rushanara Ali,5,FOR
Rushanara Ali,6,AGAINST
Rushanara Ali,7,AGAINST
Rushanara Ali,8,AGAINST
Lucy Allan,1,DID_NOT_VOTE
Lucy Allan,2,DID_NOT_VOTE
Lucy Allan,3,DID_NOT_VOTE
Lucy Allan,4,DID_NOT_VOTE
Lucy Allan,5,DID_NOT_VOTE
Lucy Allan,6,DID_NOT_VOTE
Lucy Allan,7,DID_NOT_VOTE
Lucy Allan,8,DID_NOT_VOTE
Heidi Allen,1,AGAINST
Heidi Allen,2,FOR
Heidi Allen,3,AGAINST
Heidi Allen,4,AGAINST
Heidi Allen,5,FOR
Heidi Allen,6,AGAINST
Heidi Allen,7,DID_NOT_VOTE
Heidi Allen,8,AGAINST
Rosena Allin-Khan,1,FOR
Rosena Allin-Khan,2,FOR
Rosena Allin-Khan,3,FOR
Rosena Allin-Khan,4,AGAINST
Rosena Allin-Khan,5,FOR
Rosena Allin-Khan,6,AGAINST
Rosena Allin-Khan,7,AGAINST
Rosena Allin-Khan,8,AGAINST
Mike Amesbury,1,FOR
Mike Amesbury,2,FOR
Mike Amesbury,3,FOR
Mike Amesbury,4,FOR
Mike Amesbury,5,DID_NOT_VOTE
Mike Amesbury,6,AGAINST
Mike Amesbury,7,AGAINST
Mike Amesbury,8,DID_NOT_VOTE
Sir David Amess,1,AGAINST
Sir David Amess,2,AGAINST
Sir David Amess,3,AGAINST
Sir David Amess,4,AGAINST
Sir David Amess,5,AGAINST
Sir David Amess,6,FOR
Sir David Amess,7,FOR
Sir David Amess,8,AGAINST
Stuart Andrew,1,AGAINST
Stuart Andrew,2,AGAINST
Stuart Andrew,3,AGAINST
Stuart Andrew,4,AGAINST
Stuart Andrew,5,AGAINST
Stuart Andrew,6,FOR
Stuart Andrew,7,FOR
Stuart Andrew,8,AGAINST
Tonia Antoniazzi,1,FOR
Tonia Antoniazzi,2,FOR
Tonia Antoniazzi,3,FOR
Tonia Antoniazzi,4,AGAINST
Tonia Antoniazzi,5,FOR
Tonia Antoniazzi,6,AGAINST
Tonia Antoniazzi,7,AGAINST
Tonia Antoniazzi,8,AGAINST
Edward Argar,1,AGAINST
Edward Argar,2,AGAINST
Edward Argar,3,AGAINST
Edward Argar,4,AGAINST
Edward Argar,5,AGAINST
Edward Argar,6,DID_NOT_VOTE
Edward Argar,7,AGAINST
Edward Argar,8,AGAINST
Jonathan Ashworth,1,FOR
Jonathan Ashworth,2,FOR
Jonathan Ashworth,3,FOR
Jonathan Ashworth,4,FOR
Jonathan Ashworth,5,DID_NOT_VOTE
Jonathan Ashworth,6,AGAINST
Jonathan Ashworth,7,AGAINST
Jonathan Ashworth,8,DID_NOT_VOTE
Victoria Atkins,1,AGAINST
Victoria Atkins,2,AGAINST
Victoria Atkins,3,AGAINST
Victoria Atkins,4,AGAINST
Victoria Atkins,5,AGAINST
Victoria Atkins,6,AGAINST
Victoria Atkins,7,AGAINST
Victoria Atkins,8,AGAINST
Ian Austin,1,FOR
Ian Austin,2,AGAINST
Ian Austin,3,FOR
Ian Austin,4,FOR
Ian Austin,5,DID_NOT_VOTE
Ian Austin,6,AGAINST
Ian Austin,7,AGAINST
Ian Austin,8,DID_NOT_VOTE
Richard Bacon,1,AGAINST
Richard Bacon,2,AGAINST
Richard Bacon,3,AGAINST
Richard Bacon,4,AGAINST
Richard Bacon,5,AGAINST
Richard Bacon,6,FOR
Richard Bacon,7,FOR
Richard Bacon,8,AGAINST
Kemi Badenoch,1,AGAINST
Kemi Badenoch,2,AGAINST
Kemi Badenoch,3,AGAINST
Kemi Badenoch,4,AGAINST
Kemi Badenoch,5,AGAINST
Kemi Badenoch,6,DID_NOT_VOTE
Kemi Badenoch,7,FOR
Kemi Badenoch,8,AGAINST
Adrian Bailey,1,FOR
Adrian Bailey,2,FOR
Adrian Bailey,3,FOR
Adrian Bailey,4,FOR
Adrian Bailey,5,DID_NOT_VOTE
Adrian Bailey,6,AGAINST
Adrian Bailey,7,AGAINST
Adrian Bailey,8,DID_NOT_VOTE
Steve Baker,1,AGAINST
Steve Baker,2,AGAINST
Steve Baker,3,AGAINST
Steve Baker,4,AGAINST
Steve Baker,5,AGAINST
Steve Baker,6,FOR
Steve Baker,7,FOR
Steve Baker,8,AGAINST
Harriett Baldwin,1,AGAINST
Harriett Baldwin,2,AGAINST
Harriett Baldwin,3,AGAINST
Harriett Baldwin,4,AGAINST
Harriett Baldwin,5,AGAINST
Harriett Baldwin,6,DID_NOT_VOTE
Harriett Baldwin,7,DID_NOT_VOTE
Harriett Baldwin,8,DID_NOT_VOTE
Stephen Barclay,1,DID_NOT_VOTE
Stephen Barclay,2,DID_NOT_VOTE
Stephen Barclay,3,DID_NOT_VOTE
Stephen Barclay,4,DID_NOT_VOTE
Stephen Barclay,5,DID_NOT_VOTE
Stephen Barclay,6,DID_NOT_VOTE
Stephen Barclay,7,DID_NOT_VOTE
Stephen Barclay,8,DID_NOT_VOTE
Hannah Bardell,1,DID_NOT_VOTE
Hannah Bardell,2,FOR
Hannah Bardell,3,DID_NOT_VOTE
Hannah Bardell,4,DID_NOT_VOTE
Hannah Bardell,5,FOR
Hannah Bardell,6,AGAINST
Hannah Bardell,7,AGAINST
Hannah Bardell,8,AGAINST
John Baron,1,AGAINST
John Baron,2,AGAINST
John Baron,3,AGAINST
John Baron,4,AGAINST
John Baron,5,AGAINST
John Baron,6,FOR
John Baron,7,DID_NOT_VOTE
John Baron,8,AGAINST
Sir Kevin Barron,1,FOR
Sir Kevin Barron,2,AGAINST
Sir Kevin Barron,3,DID_NOT_VOTE
Sir Kevin Barron,4,AGAINST
Sir Kevin Barron,5,AGAINST
Sir Kevin Barron,6,AGAINST
Sir Kevin Barron,7,AGAINST
Sir Kevin Barron,8,AGAINST
Guto Bebb,1,FOR
Guto Bebb,2,FOR
Guto Bebb,3,AGAINST
Guto Bebb,4,AGAINST
Guto Bebb,5,FOR
Guto Bebb,6,AGAINST
Guto Bebb,7,AGAINST
Guto Bebb,8,FOR
Margaret Beckett,1,FOR
Margaret Beckett,2,FOR
Margaret Beckett,3,FOR
Margaret Beckett,4,DID_NOT_VOTE
Margaret Beckett,5,DID_NOT_VOTE
Margaret Beckett,6,AGAINST
Margaret Beckett,7,AGAINST
Margaret Beckett,8,DID_NOT_VOTE
Órfhlaith Begley,1,DID_NOT_VOTE
Órfhlaith Begley,2,DID_NOT_VOTE
Órfhlaith Begley,3,DID_NOT_VOTE
Órfhlaith Begley,4,DID_NOT_VOTE
Órfhlaith Begley,5,DID_NOT_VOTE
Órfhlaith Begley,6,DID_NOT_VOTE
Órfhlaith Begley,7,DID_NOT_VOTE
Órfhlaith Begley,8,DID_NOT_VOTE
Sir Henry Bellingham,1,AGAINST
Sir Henry Bellingham,2,AGAINST
Sir Henry Bellingham,3,AGAINST
Sir Henry Bellingham,4,AGAINST
Sir Henry Bellingham,5,AGAINST
Sir Henry Bellingham,6,FOR
Sir Henry Bellingham,7,FOR
Sir Henry Bellingham,8,AGAINST
Hilary Benn,1,FOR
Hilary Benn,2,FOR
Hilary Benn,3,FOR
Hilary Benn,4,FOR
Hilary Benn,5,DID_NOT_VOTE
Hilary Benn,6,AGAINST
Hilary Benn,7,AGAINST
Hilary Benn,8,DID_NOT_VOTE
Richard Benyon,1,FOR
Richard Benyon,2,AGAINST
Richard Benyon,3,AGAINST
Richard Benyon,4,FOR
Richard Benyon,5,AGAINST
Richard Benyon,6,AGAINST
Richard Benyon,7,AGAINST
Richard Benyon,8,AGAINST
John Bercow,1,DID_NOT_VOTE
John Bercow,2,DID_NOT_VOTE
John Bercow,3,DID_NOT_VOTE
John Bercow,4,DID_NOT_VOTE
John Bercow,5,DID_NOT_VOTE
John Bercow,6,DID_NOT_VOTE
John Bercow,7,DID_NOT_VOTE
John Bercow,8,DID_NOT_VOTE
Sir Paul Beresford,1,AGAINST
Sir Paul Beresford,2,AGAINST
Sir Paul Beresford,3,AGAINST
Sir Paul Beresford,4,AGAINST
Sir Paul Beresford,5,AGAINST
Sir Paul Beresford,6,AGAINST
Sir Paul Beresford,7,AGAINST
Sir Paul Beresford,8,AGAINST
Luciana Berger,1,AGAINST
Luciana Berger,2,FOR
Luciana Berger,3,AGAINST
Luciana Berger,4,AGAINST
Luciana Berger,5,FOR
Luciana Berger,6,AGAINST
Luciana Berger,7,AGAINST
Luciana Berger,8,AGAINST
Jake Berry,1,AGAINST
Jake Berry,2,AGAINST
Jake Berry,3,AGAINST
Jake Berry,4,AGAINST
Jake Berry,5,AGAINST
Jake Berry,6,FOR
Jake Berry,7,AGAINST
Jake Berry,8,AGAINST
Clive Betts,1,FOR
Clive Betts,2,FOR
